id,title,season
34577,Nanatsu no Taizai: Imashime no Fukkatsu,Winter 2018
34580,Nana Maru San Batsu,Summer 2017
34591,Natsume Yuujinchou Roku,Spring 2017
34599,Made in Abyss,Summer 2017
34607,Lostorage Conflated WIXOSS,Spring 2018
34612,Saiki Kusuo no Ψ-nan 2,Winter 2018
34618,Blend S,Fall 2017
34620,Kono Yo no Hate de Koi wo Utau Shoujo YU-NO,Spring 2019
34636,Ballroom e Youkoso,Summer 2017
34662,Fate/Apocrypha,Summer 2017
34664,Capsule Boy,Spring 2016
34667,Kemy Tamheomdae,Summer 2016
34669,Ba La La Xiao Mo Xian Zhi: Feiyue Cai Ling Bao 2nd Season,Spring 2017
34712,Kujira no Kora wa Sajou ni Utau,Fall 2017
34725,Kaito x Ansa,Summer 2017
34738,Sengoku Choujuu Giga: Otsu,Winter 2017
34741,Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (TV),Spring 2017
34745,Mahoujin Guruguru (2017),Summer 2017
34754,Rilu Rilu Fairilu: Yousei no Door,Winter 2016
34771,Dynamic Chord,Fall 2017
34787,Idol Time PriPara,Spring 2017
34794,Yukai na Animal Bus,Winter 2017
34798,Yuru Camp△,Winter 2018
34799,PriPri Chii-chan!!,Spring 2017
34800,Action Heroine Cheer Fruits,Summer 2017
34822,Tsuki ga Kirei,Spring 2017
34823,Souryo to Majiwaru Shikiyoku no Yoru ni...,Spring 2017
34825,Keppeki Danshi! Aoyama-kun,Summer 2017
34834,Hina Logi: From Luck & Logic,Summer 2017
34836,Future Card Buddyfight Battsu,Spring 2017
34839,Sanrio Danshi,Winter 2018
34852,Pikaia!!,Winter 2017
34863,Zoku Touken Ranbu: Hanamaru,Winter 2018
34866,Yu☆Gi☆Oh! VRAINS,Spring 2017
34881,Aho Girl,Summer 2017
34888,Makeruna!! Aku no Gundan!,Spring 2017
34901,Beyblade Burst God,Spring 2017
34902,Tsurezure Children,Summer 2017
34903,RoboMasters the Animated Series,Fall 2017
34905,Duel Masters (2017),Spring 2017
34914,New Game!!,Summer 2017
34915,The iDOLM@STER SideM,Fall 2017
34927,Rilu Rilu Fairilu: Mahou no Kagami,Spring 2017
34928,Akindo Sei no Little Peso,Spring 2017
34933,Kakegurui,Summer 2017
34934,Koi to Uso,Summer 2017
34964,Killing Bites,Winter 2018
34966,Jigoku Shoujo: Yoi no Togi,Summer 2017
34973,Love Live! Sunshine!! 2nd Season,Fall 2017
34975,Marvel Future Avengers,Summer 2017
34978,Nobunaga no Shinobi: Ise Kanegasaki-hen,Spring 2017
34979,Shounen Ashibe: Go! Go! Goma-chan 2,Spring 2017
34984,Koi wa Ameagari no You ni,Winter 2018
34990,Unicorn no Kyupi,Spring 2017
35015,Ani ni Tsukeru Kusuri wa Nai!,Spring 2017
35025,"""Eikou Naki Tensai-tachi"" Kara no Monogatari",Spring 2017
35062,Mahoutsukai no Yome,Fall 2017
35067,Osomatsu-san 2nd Season,Fall 2017
35069,Sekai no Yami Zukan,Spring 2017
35073,Overlord II,Winter 2018
35075,Hoozuki no Reitetsu 2nd Season,Fall 2017
35076,Juuni Taisen,Fall 2017
35078,Mitsuboshi Colors,Winter 2018
35079,Kino no Tabi: The Beautiful World - The Animated Series,Fall 2017
35112,Panpaka Pants O New-san,Spring 2017
35114,Clione no Akari,Summer 2017
35156,High & Low: G-Sword,Winter 2017
35180,3-gatsu no Lion 2nd Season,Fall 2017
35183,Gurazeni,Spring 2018
35203,Isekai wa Smartphone to Tomo ni.,Summer 2017
35220,Youkai Apartment no Yuuga na Nichijou,Summer 2017
35222,Gakuen Babysitters,Winter 2018
35226,Akita Kenritsu Iburi Gakkou Chuutou-bu,Spring 2017
35240,Princess Principal,Summer 2017
35241,Konohana Kitan,Fall 2017
35247,Owarimonogatari 2nd Season,Summer 2017
35248,18if,Summer 2017
35249,Uma Musume: Pretty Derby (TV),Spring 2018
35250,Urahara,Fall 2017
35251,Sengoku Night Blood,Fall 2017
35252,Hatena☆Illusion,Winter 2020
35254,Time Bokan: Gyakushuu no San Akunin,Fall 2017
35298,Ramen Daisuki Koizumi-san,Winter 2018
35302,Neko Neko Nihonshi 2nd Season,Spring 2017
35303,Furusato Meguri: Nippon no Mukashibanashi,Spring 2017
35313,Kemono Friends 2,Winter 2019
35319,Freaky Highschool,Summer 2016
35330,Poputepipikku,Winter 2018
35332,World Fool News (TV) Part II,Spring 2017
35334,ClassicaLoid 2nd Season,Fall 2017
35370,Teekyuu 9,Summer 2017
35372,Otoppe,Spring 2017
35376,Himouto! Umaru-chan R,Fall 2017
35385,Yukai na Animal Bus 2nd Season,Summer 2017
35413,Imouto sae Ireba Ii.,Fall 2017
35427,Animegataris,Fall 2017
35434,Konbini Kareshi,Summer 2017
35444,Neko to Mata,Spring 2017
35478,Neko no Robu,Spring 2017
35484,Osake wa Fuufu ni Natte kara,Fall 2017
35503,Shoujo☆Kageki Revue Starlight,Summer 2018
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),Summer 2017
35516,Dappys,Spring 2017
35517,Caribadix,Spring 2017
35540,Slow Start,Winter 2018
35557,Houseki no Kuni (TV),Fall 2017
35589,Toji no Miko,Winter 2018
35629,Skirt no Naka wa Kedamono Deshita.,Summer 2017
35639,Just Because!,Fall 2017
35672,Yama no Susume Third Season,Summer 2018
35698,Oidon to,Winter 2016
35712,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,Fall 2017
35714,Yami Shibai 5,Summer 2017
35730,Musekinin Galaxy☆Tylor,Summer 2017
35739,Pikotarou no Lullaby Lullaby (TV),Summer 2017
35756,Comic Girls,Spring 2018
35757,Gin no Guardian II,Winter 2018
35760,Shingeki no Kyojin Season 3,Summer 2018
35788,Shokugeki no Souma: San no Sara,Fall 2017
35789,Yowamushi Pedal: Glory Line,Winter 2018
35790,Tate no Yuusha no Nariagari,Winter 2019
35818,Love Kome: We Love Rice Nikisaku,Fall 2017
35821,Chio-chan no Tsuugakuro,Summer 2018
35828,Miira no Kaikata,Winter 2018
35834,Angolmois: Genkou Kassenki,Summer 2018
35835,RErideD: Tokigoe no Derrida,Fall 2018
35838,Shoujo Shuumatsu Ryokou,Fall 2017
35839,Sora yori mo Tooi Basho,Winter 2018
35843,Gintama.: Porori-hen,Fall 2017
35847,SSSS.Gridman,Fall 2018
35849,Darling in the FranXX,Winter 2018
35857,Lupin III: Part 5,Spring 2018
35860,Karakai Jouzu no Takagi-san,Winter 2018
35883,Cinderella Girls Gekijou 2nd Season,Fall 2017
35889,Hakata Tonkotsu Ramens,Winter 2018
35905,Ryuuou no Oshigoto!,Winter 2018
35914,Catchy-kun no Nice Catch!,Summer 2017
35928,Devils Line,Spring 2018
35957,Yura Yura Suizokukan,Summer 2017
35963,PJ Berri no Mogumogu Munyamunya Season 2,Summer 2017
35964,Basilisk: Ouka Ninpouchou,Winter 2018
35968,Wotaku ni Koi wa Muzukashii,Spring 2018
35972,Fairy Tail: Final Series,Fall 2018
35983,Harukana Receive,Summer 2018
35988,Dame x Prince Anime Caravan,Winter 2018
35994,Satsuriku no Tenshi,Summer 2018
35997,Märchen Mädchen,Winter 2018
36000,Sora to Umi no Aida,Fall 2018
36001,Alice or Alice,Spring 2018
36002,Otona no Ikkyuu-san 2nd Season,Spring 2017
36003,Kimoshiba 2,Spring 2017
36009,Two Car,Fall 2017
36022,Cardfight!! Vanguard G: Z,Fall 2017
36023,Persona 5 the Animation,Spring 2018
36027,Ousama Game The Animation,Fall 2017
36028,Golden Kamuy,Spring 2018
36029,Hakyuu Houshin Engi,Winter 2018
36036,Running Man,Summer 2017
36037,Senran Kagura Shinovi Master: Tokyo Youma-hen,Fall 2018
36049,Dagashi Kashi 2,Winter 2018
36073,Aiseki Mogol Girl,Fall 2017
36094,Hakumei to Mikochi,Winter 2018
36108,Takunomi.,Winter 2018
36124,Itou Junji: Collection,Winter 2018
36135,Oretacha Youkai Ningen,Fall 2017
36144,Garo: Vanishing Line,Fall 2017
36166,Fireball Humorous,Fall 2017
36196,Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku 2nd Season,Winter 2018
36220,Itsudatte Bokura no Koi wa 10 cm Datta.,Fall 2017
36231,Hinomaru!,Summer 2017
36245,Evil or Live,Fall 2017
36259,Pingu in the City,Fall 2017
36265,Sylvanian Families: Mini Story,Fall 2017
36266,Mahou Shoujo Site,Spring 2018
36267,Uchuu Senkan Tiramisù,Spring 2018
36288,Glamorous Heroes,Fall 2017
36296,Hinamatsuri (TV),Spring 2018
36309,Butlers: Chitose Momotose Monogatari,Spring 2018
36316,Shichisei no Subaru,Summer 2018
36317,Gaikotsu Shotenin Honda-san,Fall 2018
36407,Kenja no Mago,Spring 2019
36409,Yodel no Onna,Fall 2017
36418,Koneko no Chi: Ponponra Dairyokou,Spring 2018
36431,One Room Second Season,Summer 2018
36432,Toaru Majutsu no Index III,Fall 2018
36440,Ku Pao Ying Xiong,Fall 2017
36456,Boku no Hero Academia 3rd Season,Spring 2018
36470,Tada-kun wa Koi wo Shinai,Spring 2018
36474,Sword Art Online: Alicization,Fall 2018
36475,Sword Art Online Alternative: Gun Gale Online,Spring 2018
36486,Lalala Lala-chan ★Uchuu ni Muchuu★,Fall 2017
36506,Fuwafuwa Hour: Pui Pui & Muu Muu,Summer 2017
36510,Ulysses: Jehanne Darc to Renkin no Kishi,Fall 2018
36511,Tokyo Ghoul:re,Spring 2018
36513,Rokuhoudou Yotsuiro Biyori,Spring 2018
36516,Beatless,Winter 2018
